LAGER LISTA  ;;;;;;;;;;;;;;;;;;;;
Rbr.;MT;NadGrupa;Grupa;Šifra robe;Barcode;KatBroj;Naziv robe;Dob;NazivDob;Polica;Pretinac;JMJ;Stanje;PNBC;VPC;MPC;TD_Sifra;TD_ID;Top;Akt
3899;50;*Bez*;*Bez*;08867;4011558222000;C35154;FILTER ZRAKA ;;;;;KOM;1,00;10,42;16,80;19,66;;0,00;;D
3905;50;*Bez*;*Bez*;08874;4011558229108;C12178;FILTER ZRAKA W211 OM647/648 12/2002- ;;;;;KOM;1,00;21,38;34,48;40,34;;0,00;;D
3909;50;*Bez*;*Bez*;08878;4011558229207;C12178/1;FILTERA ZRAKA W211 OM646 03/2002 ;;;;;KOM;1,00;23,92;38,94;45,56;;0,00;;D
3967;50;*Bez*;*Bez*;08469;4011558738303;W610/2;FILTER ULJA ;;;;;KOM;1,00;7,50;10,20;11,93;;0,00;;D
3969;50;*Bez*;*Bez*;08471;4011558268404;HU947/1N;FILTER ULJA ;;;;;KOM;1,00;15,00;18,80;22,00;;0,00;;D
3979;50;*Bez*;*Bez*;08487;4011558269302;HU932/6X;FILTER ULJA ;;;;;KOM;1,00;17,00;21,36;24,99;;0,00;;D
3980;50;*Bez*;*Bez*;08488;4011558298302;HU711/51X;FILTER ULJA ;;;;;KOM;1,00;7,45;12,01;14,05;;0,00;;D
3986;50;*Bez*;*Bez*;08495;4011558738006;W67/1;FILTER ULJA ;;;;;KOM;2,00;7,4033;11,05;12,93;;0,00;;D
3993;50;*Bez*;*Bez*;08503;4011558293406;HU612X;FILTER ULJA CITROEN C2/C3 ;;;;;KOM;1,00;7,70;12,52;14,65;;0,00;;D
3996;50;*Bez*;*Bez*;08507;4011558736002;W714/4;FILTER ULJA FIAT ;;;;;KOM;1,00;10,00;12,00;14,04;;0,00;;D
3998;50;*Bez*;*Bez*;08510;4011558295608;HU920X;FILTER ULJA FORD MONDEO/TRANSIT ;;;;;KOM;1,00;9,50;13,23;15,48;;0,00;;D
4079;50;*Bez*;*Bez*;10157;4006633289658;24.8190-0714.2(620714);KABAL KOČINICE PRED VECTRA B1,6-2,6 -02 ;;;;;KOM;1,00;9,00;10,00;11,70;;0,00;;D
4120;50;*Bez*;*Bez*;06948;2721701;2721701(2113332914);ČAURA LAFETE MERC-211 DONJA ALU=30836 ;;;;;KOM;1,00;32,00;38,40;44,93;;0,00;;D
4256;50;*Bez*;*Bez*;09385;2533000000100;104403DE6;GUMICA AUSPUHA ;;;;;KOM;1,00;5,00;6,00;7,02;;0,00;;D
4260;50;*Bez*;*Bez*;09392;22214;22214;GUMICA BAL ŠTANGE VITO ;;;;;KOM;4,00;3,00;3,30;3,86;;0,00;;D
4272;50;*Bez*;*Bez*;09425;037121687;037121687;GUMICA RAČVE VODE ;;;;;KOM;7,00;0,62;0,95;1,11;;0,00;;D
4275;50;*Bez*;*Bez*;09428;104529015;104529015;GUMICA VW ;;;;;KOM;12,00;0,84;1,71;2,00;;0,00;;D
4299;50;*Bez*;*Bez*;06238;4041248086995;915.213(915.212);BRTVA USISNE GRANE GOLF 1,9D/TD ;;;;;KOM;1,00;3,06;4,71;5,51;;0,00;;D
4476;50;*Bez*;*Bez*;08516;4011558406103;HU848/1X;FILTER ULJA HU 848/1X ;;;;;KOM;1,00;10,57;17,05;19,95;;0,00;;D
